NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op),Throughput(op/sec)
1,1g,194mb,1g,20k,14,200k,2.190,6387.379
1,1g,194mb,1g,20k,14,9m,2.124,6583.907
1,1g,194mb,1g,20k,39,200k,5.926,6447.440
1,1g,194mb,1g,20k,39,9m,5.987,6505.454
1,1g,194mb,1g,20k,64,200k,9.511,6658.103
1,1g,194mb,1g,20k,64,9m,9.441,6597.923
1,1g,194mb,1g,20k,88,200k,13.345,6542.422
1,1g,194mb,1g,20k,88,9m,13.713,6401.642
1,1g,194mb,1g,58k,14,200k,5.979,2325.875
1,1g,194mb,1g,58k,14,9m,5.870,2331.699
1,1g,194mb,1g,58k,39,200k,16.354,2284.282
1,1g,194mb,1g,58k,39,9m,15.772,2323.469
1,1g,194mb,1g,58k,64,200k,25.773,2315.769
1,1g,194mb,1g,58k,64,9m,24.873,2332.857
1,1g,194mb,1g,58k,88,200k,34.749,2257.536
1,1g,194mb,1g,58k,88,9m,33.595,2304.457
1,1g,194mb,1g,95k,14,200k,9.727,1417.656
1,1g,194mb,1g,95k,14,9m,9.496,1432.877
1,1g,194mb,1g,95k,39,200k,26.740,1364.338
1,1g,194mb,1g,95k,39,9m,26.216,1414.170
1,1g,194mb,1g,95k,64,200k,39.519,1433.621
1,1g,194mb,1g,95k,64,9m,40.432,1418.525
1,1g,194mb,1g,95k,88,200k,54.038,1351.110
1,1g,194mb,1g,95k,88,9m,51.343,1380.922
1,1g,194mb,1g,132k,14,200k,13.121,1031.798
1,1g,194mb,1g,132k,14,9m,13.509,1007.150
1,1g,194mb,1g,132k,39,200k,33.354,1002.437
1,1g,194mb,1g,132k,39,9m,34.927,1005.752
1,1g,194mb,1g,132k,64,200k,53.718,985.349
1,1g,194mb,1g,132k,64,9m,98.764,513.499
1,1g,194mb,1g,132k,88,200k,119.432,573.394
1,1g,194mb,1g,132k,88,9m,110.209,649.373
1,1g,317mb,10m,20k,14,200k,1.411,9912.229
1,1g,317mb,10m,20k,14,9m,1.411,9912.586
1,1g,317mb,10m,20k,39,200k,3.909,9971.204
1,1g,317mb,10m,20k,39,9m,4.027,9670.448
1,1g,317mb,10m,20k,64,200k,6.429,9950.464
1,1g,317mb,10m,20k,64,9m,6.446,9899.441
1,1g,317mb,10m,20k,88,200k,9.059,9709.701
1,1g,317mb,10m,20k,88,9m,8.847,9908.078
1,1g,317mb,10m,58k,14,200k,3.593,3889.089
1,1g,317mb,10m,58k,14,9m,3.592,3895.166
1,1g,317mb,10m,58k,39,200k,9.993,3896.651
1,1g,317mb,10m,58k,39,9m,9.914,3894.860
