,NoOfCpus,Memory,IoRateLimits(mb/sec),FileSize,IoSize,NoOfThreads,ThreadMemory,ResponseTime(msec/op)
499,1,1,72,1073741824,20,39,9437184,12.405999999999999
500,1,1,72,1073741824,20,64,204800,19.691
501,1,1,72,1073741824,20,64,9437184,19.567999999999998
502,1,1,72,1073741824,20,88,204800,27.430999999999997
503,1,1,72,1073741824,20,88,9437184,28.253
504,1,1,72,1073741824,58,14,204800,12.036
505,1,1,72,1073741824,58,14,9437184,11.974
506,1,1,72,1073741824,58,39,204800,31.099
507,1,1,72,1073741824,58,39,9437184,30.93
508,1,1,72,1073741824,58,64,204800,50.034
509,1,1,72,1073741824,58,64,9437184,48.105
510,1,1,72,1073741824,58,88,204800,66.467
511,1,1,72,1073741824,58,88,9437184,71.298
512,1,1,72,1073741824,95,14,204800,19.27
513,1,1,72,1073741824,95,14,9437184,19.66
514,1,1,72,1073741824,95,39,204800,44.483999999999995
515,1,1,72,1073741824,95,39,9437184,53.701
516,1,1,72,1073741824,95,64,204800,69.816
517,1,1,72,1073741824,95,64,9437184,83.285
518,1,1,72,1073741824,95,88,204800,115.501
519,1,1,72,1073741824,95,88,9437184,104.839
520,1,1,72,1073741824,132,14,204800,27.089000000000002
521,1,1,72,1073741824,132,14,9437184,26.834
522,1,1,72,1073741824,132,39,204800,66.92
523,1,1,72,1073741824,132,39,9437184,73.722
524,1,1,72,1073741824,132,64,204800,102.244
525,1,1,72,1073741824,132,64,9437184,125.274
526,1,1,72,1073741824,132,88,204800,179.858
527,1,1,72,1073741824,132,88,9437184,137.084
528,1,8,194,10485760,20,14,204800,1.598
529,1,8,194,10485760,20,14,9437184,1.4809999999999999
530,1,8,194,10485760,20,39,204800,4.071000000000001
531,1,8,194,10485760,20,39,9437184,4.188
532,1,8,194,10485760,20,64,204800,6.678
533,1,8,194,10485760,20,64,9437184,6.874
534,1,8,194,10485760,20,88,204800,9.204
535,1,8,194,10485760,20,88,9437184,9.221
536,1,8,194,10485760,58,14,204800,4.071000000000001
537,1,8,194,10485760,58,14,9437184,4.163
538,1,8,194,10485760,58,39,204800,11.610999999999999
539,1,8,194,10485760,58,39,9437184,11.255999999999998
540,1,8,194,10485760,58,64,204800,18.625999999999998
541,1,8,194,10485760,58,64,9437184,18.665
542,1,8,194,10485760,58,88,204800,25.572
543,1,8,194,10485760,58,88,9437184,26.081999999999997
544,1,8,194,10485760,95,14,204800,6.653
